profits_percent_change,market_value
8.50%,-
-,"$35,272.30 "
-,"$27,129.30 "
-8.30%,"$215,280.50 "
204.80%,"$18,145.50 "
158.30%,"$41,774.90 "
69.70%,"$13,849.60 "
-33.70%,"$25,614.60 "
2.80%,"$4,888.60 "
-,"$34,028.90 "
5.40%,"$95,577.10 "
2.70%,"$26,693.80 "
7.40%,"$9,335 "
-,"$4,321.30 "
-,"$15,971.30 "
1128.50%,-
-,"$60,728.30 "
25.20%,"$40,582.60 "
73.60%,"$74,996.70 "
82.20%,-
27.70%,"$65,311.90 "
44.70%,"$36,456.80 "
37.50%,"$32,700.90 "
48.90%,"$17,565.70 "
22.60%,"$19,176.70 "
-,"$68,883 "
18.90%,"$21,890.20 "
-,"$4,051.70 "
-,"$10,856.50 "
282.80%,"$11,313.50 "
-3%,"$17,807.40 "
272.30%,"$31,212.80 "
-,-
-71.80%,"$1,807.40 "
-,-
38.30%,"$10,115.70 "
163.90%,"$61,215.10 "
246.20%,"$44,140.80 "
-,"$57,514.90 "
31.10%,"$7,832.40 "
50.10%,"$28,909.10 "
92.70%,"$2,859.90 "
19.90%,"$14,727.70 "
-170.80%,"$11,641.60 "
22.30%,"$33,525.30 "
79.90%,"$33,213 "
8.40%,"$39,275.90 "
23.50%,"$45,410.40 "
-40.50%,$927.10
377.60%,"$31,076.70 "
55.70%,"$21,905.90 "
70.90%,"$12,941.40 "
50.10%,"$26,358 "
9.10%,"$18,779.50 "
-196.70%,"$15,460.60 "
115.20%,"$21,423.20 "
-66.50%,"$53,087.60 "
197.20%,"$20,037.50 "
-,"$19,549.50 "
205.50%,"$8,356.90 "
16.50%,"$39,017.90 "
-,"$50,548.40 "
33.10%,"$26,171.60 "
1248.70%,"$1,708.20 "
62%,"$53,748.20 "
5%,"$10,843.10 "
36.70%,"$81,587.80 "
56.30%,"$11,960.10 "
-,"$1,728.80 "
140.10%,"$33,641.90 "
141.40%,"$16,090.60 "
24.90%,-
-55%,"$1,598.60 "
144.80%,"$24,492.60 "
195.90%,"$4,330.90 "
186.60%,"$7,986.60 "
-58.80%,"$62,968.10 "
-,"$39,274.10 "
-17.50%,"$12,700.50 "
50.30%,"$21,052.90 "
-,"$16,603.40 "
-8.80%,-
-,"$9,655.50 "
-300.30%,"$10,434.70 "
11.30%,"$31,891.80 "
3.90%,"$6,382.80 "
917.10%,"$11,396.10 "
-,"$63,310.20 "
510.60%,"$15,785.40 "
-19.40%,"$23,760.40 "
-25.70%,"$33,455.60 "
26.50%,"$10,892.50 "
-17.10%,-
210.60%,"$10,493.10 "
-,"$15,239.10 "
0.10%,"$28,089.20 "
-,"$15,237.10 "
33.40%,"$41,841.70 "
100.40%,"$8,081.80 "
54.60%,"$16,103.50 "
49.30%,"$68,389.30 "
-989.10%,"$17,172.10 "
110%,"$10,885.30 "
-,"$16,564.60 "
-,"$12,041.20 "
25%,"$12,644.80 "
-61.10%,"$30,950.40 "
59%,-
1874.60%,"$96,022.70 "
32.20%,"$45,130.10 "
39.40%,"$16,348.60 "
18.90%,"$26,181.60 "
-,"$6,993.20 "
182%,"$14,411.60 "
-,"$1,500.20 "
619%,"$40,670.40 "
-,"$8,902.40 "
79.30%,"$14,450.10 "
11.30%,"$55,409.40 "
297.20%,-
-,"$11,631.80 "
171.40%,"$13,965.90 "
227.10%,"$28,315 "
127%,"$5,674.10 "
71.50%,"$22,817.50 "
188.50%,"$5,931.80 "
1.30%,"$30,403.20 "
26.30%,"$17,679 "
109.30%,"$3,714.80 "
641.80%,"$3,375.60 "
-134%,"$35,145.50 "
55.70%,"$25,643.30 "
-,"$18,257.90 "
-,"$4,055.40 "
12.90%,"$135,987.60 "
142.20%,"$21,813.30 "
-3.70%,-
770.70%,"$5,459.80 "
-21.80%,"$7,991 "
92.70%,"$17,658.80 "
76.70%,-
27.10%,"$3,745.10 "
-,"$13,127.70 "
51.90%,"$114,527.40 "
174.70%,"$7,972.80 "
-,"$12,112.80 "
-,"$14,157 "
-,"$2,222.20 "
-40%,"$22,112.90 "
-,"$2,170.50 "
101.40%,"$4,881.60 "
78.20%,"$7,087.20 "
94.30%,"$74,044.80 "
-,"$5,210 "
1073.90%,"$37,194 "
116%,"$7,933.90 "
15.50%,"$44,461.50 "
37.20%,"$15,010.50 "
176.50%,"$2,850 "
-,"$2,544.40 "
-2.80%,"$1,185.10 "
-,"$8,062 "
-,"$17,147.30 "
-,"$3,895.10 "
22.80%,"$62,559.70 "
86.70%,"$5,515.40 "
754.30%,"$17,427.50 "
115.40%,-
-,"$13,987.50 "
117.10%,"$4,790.50 "
460.70%,"$20,837.80 "
-,"$43,763.50 "
-,"$30,476.50 "
-,"$1,629.70 "
-4.80%,"$15,434.10 "
65.20%,"$38,545.60 "
-,"$9,064.70 "
-38.50%,"$13,446.90 "
1.10%,"$8,046.90 "
129.20%,"$14,019.30 "
33.10%,"$14,327.40 "
-66.50%,"$12,062.70 "
-,"$19,285.80 "
94.10%,"$29,511.30 "
8.40%,"$31,483.50 "
29.30%,"$142,343.50 "
64.10%,-
295.80%,"$6,264.10 "
65.50%,"$10,376 "
132.70%,"$6,691.10 "
10.70%,"$36,598.60 "
31.20%,"$40,555.90 "
-,"$12,287.10 "
-,"$5,364.10 "
12.40%,"$14,686.40 "
-,"$1,852.10 "
26.20%,"$6,703.70 "
1.90%,"$6,657 "
-,"$8,193 "
-,"$14,332.30 "
307.20%,"$2,740.40 "
64.40%,"$22,610.30 "
407.90%,"$1,917.90 "
57.90%,"$11,419.90 "
26.20%,"$11,705.40 "
1024.40%,"$41,670.40 "
-,"$26,772.30 "
34.70%,"$17,819.40 "
24.40%,"$89,008.90 "
82.50%,"$14,628.10 "
-2.70%,"$14,608.80 "
29.90%,"$34,442.60 "
39.60%,"$9,830.70 "
18.60%,"$7,354.40 "
423.20%,$890.50
-,"$33,155.20 "
-13.60%,"$66,436.90 "
95.50%,"$20,592.50 "
83.50%,"$44,347.40 "
79.20%,"$20,292.20 "
-,"$2,690.70 "
172.40%,"$3,301.60 "
172.50%,"$12,367.80 "
175.80%,"$7,599.10 "
32.50%,"$5,166.10 "
391.10%,"$20,629.10 "
-,"$5,191.40 "
-24.40%,"$17,108.70 "
-,"$7,634.90 "
-,$637.50
-,"$9,508.90 "
13.90%,"$86,441.20 "
28.10%,-
-,"$16,980.90 "
21.90%,"$6,154.40 "
-,"$5,474.70 "
-,"$3,958.70 "
-200.70%,"$21,001.90 "
26.80%,"$43,566.70 "
-337%,"$3,123.30 "
32.70%,"$32,538.40 "
119.40%,"$19,135.70 "
70.80%,"$55,170.90 "
127.60%,"$2,664.60 "
-66.40%,"$5,814.20 "
322.80%,"$2,008 "
-,"$4,175.90 "
-,"$24,320 "
-,"$4,330.40 "
117.40%,"$3,433.50 "
92.50%,"$2,569 "
331.10%,"$27,078.70 "
47.70%,"$5,056.70 "
-,"$4,670.60 "
