revenues ,profits
"$19,944.60 ","$1,864.40 "
"$19,893.90 ","$1,725.40 "
"$19,820 ","$3,143 "
"$19,698 ","$5,674 "
"$19,687 ","$2,033 "
"$19,534.70 ",$193.10 ,-
"$19,485 ",$914 ,129.10%
"$19,440 ","$1,814 "
"$19,433 ",$938 ,-
"$19,374 ","$5,901 "
"$19,367 ",$961.60 ,138.90%
"$19,263.10 ",$373.90 ,135.90%
"$19,230 ","$1,405 "
"$18,996 ","$5,855 "
"$18,916.20 ","$1,722.60 "
"$18,884 ","$8,687 "
"$18,870.50 ",$898.80 ,-
"$18,746.10 ",$838.30 ,-
"$18,642 ","$4,664 "
"$18,507 ","$2,137 "
"$18,471 ","$12,202 "
"$18,408.90 ","$3,214.10 "
"$18,389.10 ",$558.30 ,-
"$18,344 ","$7,769 "
"$18,236 ","$2,303 "
"$18,217.50 ",$465.40 ,362.80%
"$18,127 ","$2,339.80 "
"$18,035 ",$35 ,-
"$17,931 ","$1,816 "
"$17,886.30 ","($1,269.10)"
"$17,881.10 ","$2,410.60 "
"$17,814 ","$1,846 "
"$17,729 ",($149),-
"$17,661.20 ",$166.30 ,-22%
"$17,478 ",$764 ,-
"$17,455 ",($496),-
"$17,421 ","$2,166 "
"$17,252.70 ","$1,689.20 "
"$17,160 ","$6,467 "
"$17,108 ","$1,994 "
"$17,069 ","$3,573 "
"$16,949.80 ",$71.20 ,-
"$16,922 ",$821 ,-
"$16,802 ","$1,439 "
"$16,792 ","$2,488.10 "
"$16,670 ",$256 ,-
"$16,667.30 ",$426.70 ,1.30%
"$16,658 ",$617 ,48.70%
"$16,610 ","$1,784 "
"$16,540.30 ","$1,499.70 "
"$16,523.50 ","$1,415.50 "
"$16,434 ","$3,162 "
"$16,226 ","$1,334 "
"$16,215 ","$2,870 "
"$16,158 ","$3,759 "
"$16,120.90 ","$2,377.30 "
"$16,071.70 ","$8,075.30 "
"$15,916.40 ",$287.40 ,8.50%
"$15,864 ","($2,343)"
"$15,790 ",$977 ,-
"$15,785 ","$4,822 "
"$15,752 ","$4,221 "
"$15,655 ","$1,759 "
"$15,643 ","$2,422 "
"$15,369 ",$907 ,-33.70%
"$15,318.80 ",$396.90 ,2.80%
"$15,295 ","$1,457 "
"$15,005.40 ","$2,598.50 "
"$14,905 ",$759 ,2.70%
"$14,838 ",$537 ,7.40%
"$14,789 ",$178 ,-
"$14,657 ","$1,578 "
"$14,647.80 ",$288.80 ,1128.50%
"$14,643 ","$2,118 "
"$14,629.60 ","$2,170.30 "
"$14,626.20 ","$3,908.50 "
"$14,611.90 ",$734.50 ,82.20%
"$14,455 ","$2,694 "
"$14,347.60 ","$1,746.10 "
"$14,298 ","$1,246 "
"$14,289.40 ","$1,407.80 "
"$14,262.70 ","$1,710.60 "
"$14,218 ","$3,288 "
"$14,181 ","$1,488 "
"$14,156.80 ",($440.20),-
"$14,112.40 ",$173.20 ,-
"$14,093.30 ","$1,413 "
"$14,092.60 ",$477 ,-3%
"$14,082 ","$1,906 "
"$14,055 ",($366.80),-
"$14,044 ",$340 ,-71.80%
"$13,936 ","$1,102 "
"$13,926.90 ","$1,946.30 "
"$13,877 ",$417 ,163.90%
"$13,874 ",$966 ,246.20%
"$13,857 ","$1,099 "
"$13,850 ",$733 ,31.10%
"$13,811 ",$878 ,50.10%
"$13,801.70 ",$552.10 ,92.70%
"$13,737 ",$753 ,19.90%
"$13,708 ",($131),-170.80%
"$13,676 ","$1,346 "
"$13,443 ","$2,760 "
"$13,431 ","$1,597 "
"$13,327.60 ","$2,164.70 "
"$13,248.30 ",$60.80 ,-40.50%
"$13,221 ","$5,449 "
"$13,175.60 ",$308.20 ,55.70%
"$13,088.50 ","$1,090.90 "
"$13,022 ","$1,043 "
"$12,980.20 ",$486 ,9.10%
"$12,979 ",($560),-196.70%
"$12,909 ","$2,150 "
"$12,857 ","$1,317 "
"$12,846.40 ","$2,425 "
"$12,814 ",($135),-
"$12,806 ",$336 ,205.50%
"$12,784 ","$1,284 "
"$12,733.10 ","$1,129.90 "
"$12,731.10 ",$997.10 ,33.10%
"$12,728.80 ",$104 ,1248.70%
"$12,683 ","$2,146 "
"$12,642.10 ",$991.60 ,5%
"$12,522 ","$3,781 "
"$12,401 ",$631.20 ,56.30%
"$12,396.40 ",$348.90 ,-
"$12,394 ","$13,608 "
"$12,382 ",$746 ,141.40%
"$12,373 ","$1,605 "
"$12,368 ",$230 ,-55%
"$12,357.40 ","$1,630.60 "
"$12,317.40 ",$659.90 ,195.90%
"$12,293.40 ","$1,519.90 "
"$12,222 ","$1,166 "
"$12,206 ","$2,813 "
"$12,191 ","$1,006 "
"$12,168.30 ",$760.80 ,50.30%
"$12,152 ",$429 ,-
"$12,149 ",$753 ,-8.80%
"$12,096 ",($90.80),-
"$12,077 ","($1,274)"
"$12,030 ","$2,693 "
"$12,013.80 ",$824.20 ,3.90%
"$12,004.10 ","$1,034.90 "
"$11,888 ","$1,041 "
"$11,778 ","$2,015 "
"$11,742.90 ","$1,118.50 "
"$11,656 ",$270 ,-25.70%
"$11,618.80 ",$978.50 ,26.50%
"$11,459.30 ",$579 ,-17.10%
"$11,410 ","$1,372.40 "
"$11,400 ",$398 ,-
"$11,386.20 ",$908.80 ,0.10%
"$11,328 ",($518),-
"$11,295 ","$1,290.40 "
"$11,200.60 ","$1,033.20 "
"$11,184.70 ","$1,298.80 "
"$11,142 ","$3,005 "
"$11,141 ",($409),-989.10%
"$11,138.30 ",$897 ,110%
"$11,110 ","($1,019)"
"$11,036 ",($439),-
"$10,998 ",$616.10 ,25%
"$10,981.70 ","$1,556.10 "
"$10,980.20 ","$1,318.40 "
"$10,958 ","$1,165 "
"$10,876.30 ","$1,590.80 "
"$10,788 ","$1,995 "
"$10,758 ","$1,283 "
"$10,707 ",$391 ,-
"$10,690 ","$3,060 "
"$10,648.20 ",($203.50),-
"$10,627 ","$1,517 "
"$10,589 ",$572 ,-
"$10,476 ",$857 ,79.30%
"$10,323 ","$2,099.10 "
"$10,312.70 ","$2,530.20 "
"$10,279.70 ","$1,005.70 "
"$10,240.70 ",$952.80 ,171.40%
"$10,201 ","$2,607 "
"$10,090.80 ",$990.30 ,127%
"$9,910 ","$1,403 "
"$9,903.60 ",$383.50 ,188.50%
"$9,863.10 ","$1,220.50 "
"$9,853 ",$990 ,26.30%
"$9,837.70 ",$532.40 ,109.30%
"$9,785.30 ",$221.60 ,641.80%
"$9,722 ",($648),-134%
"$9,716 ","$1,386 "
"$9,680.10 ","$1,254.40 "
"$9,663 ",$519 ,-
"$9,633 ","$2,062 "
"$9,629.70 ","$2,945.60 "
"$9,619.70 ","$1,130.10 "
"$9,535.50 ",$460.60 ,770.70%
"$9,524 ",$544 ,-21.80%
"$9,455.50 ","$1,022.50 "
"$9,441.70 ",$361.20 ,76.70%
"$9,436.10 ",$219.30 ,27.10%
"$9,358 ",$330 ,-
"$9,356.90 ","$2,567.70 "
"$9,341.60 ","$1,534.30 "
"$9,322.30 ",$408.80 ,-
"$9,313 ","$1,285 "
"$9,267 ",($208),-
"$9,238.80 ",$407.90 ,-40%
"$9,233 ",($150.80),-
"$9,229 ",$570 ,101.40%
"$9,221 ","$1,241 "
"$9,168 ","$4,058 "
"$9,154.70 ",$952.30 ,-
"$9,124 ","$1,838.50 "
"$9,039.90 ","$1,674.40 "
"$8,971.30 ","$1,477.50 "
"$8,970.10 ","$1,236.70 "
"$8,958 ",$893 ,176.50%
"$8,945 ",$197 ,-
"$8,931 ",$73.80 ,-2.80%
"$8,910.60 ","$1,296.70 "
"$8,890.80 ",($73.80),-
"$8,848 ","$3,183 "
"$8,803 ","$2,699 "
"$8,790.40 ",$833.60 ,86.70%
"$8,782.10 ","$2,974.70 "
"$8,767.30 ",$262.40 ,115.40%
"$8,658 ","$1,416 "
"$8,636.10 ",$535.60 ,117.10%
"$8,630.90 ",$985.80 ,460.70%
"$8,614.90 ","$1,998 "
"$8,598 ",$12 ,-
"$8,586.70 ",($462.60),-
"$8,537 ","$1,890 "
"$8,523.80 ",$965.50 ,65.20%
"$8,498 ",$995 ,-
"$8,476 ","$1,002 "
"$8,453 ","$1,045 "
"$8,425.50 ","$1,831.20 "
"$8,408.30 ",$740.10 ,33.10%
"$8,375 ",$410 ,-66.50%
"$8,352 ","$1,486 "
"$8,329 ","$2,770 "
"$8,316 ","$1,300.30 "
"$8,297 ","$3,024 "
"$8,274.60 ","$2,842.40 "
"$8,252 ",$493.90 ,295.80%
"$8,245.90 ","$1,126.30 "
"$8,230 ",$435 ,132.70%
"$8,209.40 ",$906.80 ,10.70%
"$8,171 ","$1,245 "
"$8,147.40 ",($527.80),-
"$8,021 ",($662),-
"$8,002.70 ",$876.30 ,12.40%
"$7,983 ",$343 ,-
"$7,952.50 ",$409.40 ,26.20%
"$7,951.80 ",$328.80 ,1.90%
"$7,940 ",$153 ,-
"$7,928 ",$973 ,-
"$7,926.10 ",$712.50 ,307.20%
"$7,907.10 ","$1,123.80 "
"$7,882 ",$904 ,407.90%
"$7,881.50 ","$1,333.50 "
"$7,858.90 ",$609 ,26.20%
"$7,839.40 ","$3,624.10 "
"$7,836.20 ",$401.60 ,-
"$7,822 ",$558 ,34.70%
"$7,776 ","$2,037 "
"$7,730.30 ",$841.10 ,82.50%
"$7,720.80 ",$459.90 ,-2.70%
"$7,671.90 ","$3,082.90 "
"$7,656.10 ",$772.40 ,39.60%
"$7,654.20 ",$312.90 ,18.60%
"$7,613 ",$159.60 ,423.20%
"$7,583 ",$559 ,-
"$7,574.40 ","$2,342.10 "
"$7,561 ","$2,625 "
"$7,547.10 ",$653 ,83.50%
"$7,538 ","$1,353 "
"$7,504 ",($397),-
"$7,501.30 ",$663 ,172.40%
"$7,462 ","$1,995 "
"$7,447 ","$1,467 "
"$7,394 ",$277 ,32.50%
"$7,386.10 ",$572.60 ,391.10%
"$7,347.80 ",$77.20 ,-
"$7,341 ",$710 ,-24.40%
"$7,339 ",$18 ,-
"$7,336.80 ",$58.50 ,-
"$7,336 ",$366 ,-
"$7,318.30 ","$1,390.40 "
"$7,317.40 ",$311.50 ,28.10%
"$7,196.10 ",$629.30 ,-
"$7,156 ",$204 ,21.90%
"$7,156 ",$97 ,-
"$7,142 ",($108),-
"$7,127 ","($1,480)"
"$7,116.30 ","$1,111 "
"$7,038 ",($455),-337%
"$6,997.40 ","$1,358.10 "
"$6,986 ","$2,319 "
"$6,918.70 ","$2,078.30 "
"$6,913.80 ",$278.50 ,127.60%
"$6,894 ",$117 ,-66.40%
"$6,850.50 ",$144.60 ,322.80%
"$6,820.40 ",$243 ,-
"$6,797 ","$2,182 "
"$6,784.60 ",$646.40 ,-
"$6,773.10 ",$671.40 ,117.40%
"$6,756.60 ",$269 ,92.50%
"$6,739.80 ","$1,009.60 "
"$6,729.80 ",$412.90 ,47.70%
"$6,685.90 ",$22.40 ,-
"$6,667 ",($25),-
"$6,635.50 ",$500.20 ,35.30%
"$6,624.30 ",$862.50 ,-
"$6,605 ","$2,521 "
"$6,584 ","$1,575 "
"$6,540.40 ",$381.50 ,98.60%
"$6,538.30 ",$917.10 ,189.30%
"$6,488.30 ","$1,545.30 "
"$6,461.40 ",$598.60 ,95.50%
"$6,421 ",($494.10),-
"$6,420.40 ",$428.70 ,92.70%
"$6,415.80 ","$1,152.60 "
"$6,412.60 ",$59.20 ,348.90%
"$6,411 ",-,-
"$6,394 ",$990 ,13.70%
"$6,357 ",$149 ,-40.20%
"$6,345 ",$608 ,177.60%
"$6,340 ","$1,096 "
"$6,319 ","$1,210 "
"$6,317.90 ",$755.30 ,1.10%
"$6,310.20 ",$741.50 ,652.30%
"$6,280.20 ",$418.90 ,55.40%
"$6,268.40 ",($650.90),-
"$6,256.60 ",$975.30 ,65.60%
"$6,228.60 ",$126.30 ,42000%
"$6,226.70 ",$166.70 ,20737.50%
"$6,218 ","$2,214 "
"$6,204.50 ",$402.20 ,55.30%
"$6,176 ",$478 ,-
"$6,150.60 ",$177.80 ,-71.70%
"$6,138.30 ",$643 ,90.20%
"$6,134 ",($414),-
"$6,106.30 ",$502.60 ,65.10%
"$6,105.80 ","$1,858.70 "
"$6,099.90 ",$244.20 ,-15.10%
"$6,080 ","$1,295 "
"$6,044.10 ",$457.40 ,42.30%
"$6,037 ",($182),-
"$6,027 ","$1,833 "
"$6,010.90 ",$925 ,7.70%
"$6,010.70 ",($381.30),-
"$5,998 ",$743.40 ,81.30%
"$5,991.80 ",($352),-
"$5,912.10 ",$156 ,-
"$5,905 ",$420.80 ,-
"$5,896 ",$230 ,94.10%
"$5,886 ","$1,187 "
"$5,846.20 ",$593.30 ,59.20%
"$5,846 ",$242 ,554.10%
"$5,809 ",-,-
"$5,807.10 ",$164.40 ,-
"$5,793 ",($120.50),-129.40%
"$5,788 ",$410 ,-
"$5,764.80 ",$555.60 ,-28.80%
"$5,763.90 ",$553.50 ,-
"$5,746.30 ",$834.20 ,-
"$5,744 ",$730 ,-10.90%
"$5,724.90 ",$564.70 ,90.60%
"$5,719.30 ","$1,661 "
"$5,710.10 ","$1,704.60 "
"$5,683.50 ",$360.10 ,-
"$5,680.70 ",$378.10 ,-3.10%
"$5,677.10 ",$359.10 ,16.30%
"$5,675.30 ",$294.30 ,-
"$5,655.20 ",$562.50 ,-
"$5,632.30 ","$1,871.50 "
"$5,629 ",$837 ,-72.50%
"$5,627 ",$837 ,66.10%
"$5,616.20 ",($201.30),-
"$5,608.70 ",$405.40 ,91.50%
"$5,590.40 ",($85.50),-141.20%
"$5,587 ",$405.60 ,-
"$5,586.70 ",$879.70 ,42.30%
"$5,583.10 ",$665.90 ,-
"$5,562.70 ",$189.60 ,9.90%
"$5,556.10 ",$390.70 ,259.10%
"$5,552.20 ",$670.80 ,14.80%
"$5,546.50 ",$990.10 ,13.50%
"$5,541.40 ","$1,377.50 "
"$5,533.80 ",$506.80 ,0.80%
"$5,524 ",($250),-
"$5,505 ",($961),-
"$5,493.20 ",$702.50 ,-2.60%
"$5,467 ",$946 ,-
"$5,457.70 ",$903 ,613.10%
"$5,438.40 ",$349.40 ,-38.80%
"$5,336.30 ",$650 ,49978.90%
"$5,329 ",$156 ,-31%
"$5,307.10 ",($340.80),-
"$5,305 ","$1,478 "
"$5,301 ",$304 ,-
"$5,295.60 ",$650.60 ,77.40%
"$5,256.30 ","$1,034.40 "
"$5,254.70 ",$608.40 ,-62.30%
"$5,254.70 ",$573.70 ,56.10%
"$5,243.20 ",($639.80),-
"$5,232.50 ","$1,503.10 "
"$5,227.80 ",$418.70 ,16.70%
"$5,213 ",$234.80 ,21.80%
"$5,195 ",$427 ,68.10%
"$5,190.10 ",$827.50 ,5.30%
"$5,156.60 ",$5.90 ,-
"$5,141.30 ",$737.40 ,74.10%
"$5,138.80 ",$29.40 ,-
"$5,126.10 ",$241.40 ,110.10%
"$5,121.80 ",($109.10),-
"$5,121.60 ",$412.20 ,45%
"$5,116.80 ","$2,249.60 "
"$5,112.90 ",$745 ,1.80%
"$5,109.10 ","$1,498.30 "
"$5,077.70 ",($296.60),-
"$5,077.50 ",($221.40),-
"$5,072.60 ",$402.40 ,62.50%
"$5,070.80 ",$805.80 ,8.30%
"$5,067.20 ",$943.20 ,29.60%
"$5,051 ",$800 ,28%
"$5,049.50 ",$622.30 ,327.70%
"$5,045.20 ",$736.50 ,33.50%
"$5,030 ",$421.70 ,31.70%
"$5,010.80 ",$419.60 ,-
"$5,004 ",$166 ,348.60%
"$4,998.10 ",$119.60 ,-
"$4,993.70 ",$547.50 ,18.40%
"$4,987.90 ",$249.70 ,39.80%
"$4,976.40 ","$2,180.90 "
"$4,973.10 ",$124.10 ,-10.20%
"$4,972 ",$258 ,-1.10%
"$4,963.70 ",$3.70 ,-96.20%
"$4,941 ",$894 ,42.60%
"$4,930.80 ",$624.50 ,79%
"$4,925 ",$512.50 ,32.30%
"$4,923.90 ",$744.20 ,43.10%
